"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"12/10/2020","NY","Dickinson (Franklin County)","Under investigation","A 76-year-old man died in a house fire.","Male","76","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.wcax.com/2020/12/16/ny-authorities-investigate-fatal-franklin-county-fire/"
"12/08/2020","NY","Mount Vernon","Under investigation","A 92 year-old woman died during a house fire.","Female","92","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://abc7ny.com/mount-vernon-house-fire-fatal-elderly-woman-killed-westchester-county/8618129/"
"12/08/2020","NY","Colesville","Under investigation","A 60 year-old woman died during a house fire.","Female","60","Unknown","","N","1 & 2 family
","Not reported","https://wbng.com/2020/12/08/woman-dead-in-colesville-fire/"
"12/07/2020","NY","Town of Colesville","Under investigation","A 60-year-old woman died in a house fire.","Female","60","Unknown","","N","1 & 2 family
","Not reported","https://www.binghamtonhomepage.com/news/one-person-dead-after-fire-destroys-town-of-colesville-home/"
"11/26/2020","NY","Latham","Under investigation","A 47-year-old woman died in a house fire.","Female","47","Unknown","","N","1 & 2 family
","Not reported","https://www.news10.com/news/47-year-old-woman-killed-in-george-street-fire/"
"11/22/2020","NY","Manhattan","Electrical malfunction
","A 37-year-old woman and a 73-year-old woman died in an apartment fire.","Female","73","Older adults (65 and older)","1 of 2","N","Multifamily","Present/not working","https://people.com/human-interest/mother-daughter-killed-after-fire-tears-through-nyc-apartment/"
"11/22/2020","NY","Manhattan","Electrical malfunction
","A 37-year-old woman and a 73-year-old woman died in an apartment fire.","Female","37","Unknown","2 of 2","N","Multifamily","Present/not working","https://people.com/human-interest/mother-daughter-killed-after-fire-tears-through-nyc-apartment/"
"11/18/2020","NY","Vienna (Oneida County)","Under investigation","A man died in a house fire.","Male","76","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://wibx950.com/fatal-fire-being-investigated-in-the-town-of-vienna/"
"11/12/2020","NY","Southampton","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://patch.com/new-york/southampton/man-dies-hamptons-house-fire"
"11/10/2020","NY","Ellenburg, Clinton County","Under investigation","A 28-year-old woman died in a mobile home fire.","Female","28","Unknown","","N","1 & 2 family mobile","Not reported","https://www.mychamplainvalley.com/news/one-dead-in-clinton-county-mobile-home-fire/"
"11/02/2020","NY","Yonkers, Westchester County","Under investigation","A 75-year-old man died in a house fire.","Male","75","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://dailyvoice.com/new-york/rye/police-fire/one-killed-after-house-fire-breaks-out-in-westchester/797078/"
"10/26/2020","NY","Bronx","Open flame","A 5-year-old boy died in an apartment fire.","Male","5","Children (14 and under)","","N","Multifamily","Not reported","https://www.ny1.com/nyc/all-boroughs/news/2020/10/26/fdny-investigates-deadly-bronx-high-rise-fire-"
"10/19/2020","NY","East Northport, Suffolk County","Under investigation","A 68-year-old man died in a house fire.","Male","68","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.newsday.com/long-island/suffolk/east-northport-fatal-house-fire-1.50041240"
"10/17/2020","NY","Port Henry","Cooking","A 60-year-old woman died in an apartment fire.","Female","60","Unknown","","N","Multifamily","Not reported","https://www.wcax.com/2020/10/21/fatal-port-henry-caused-by-cooking-mishap/"
"10/05/2020","NY","Depew","Under investigation","A woman died in a house fire.","Female","49","Unknown","","N","1 & 2 family mobile","Not reported","https://www.wivb.com/news/local-news/woman-dead-following-trailer-fire/"
"10/05/2020","NY","Mount Kisco","Under investigation","A man and woman died in a house fire.","Unknown","Unknown","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not reported","https://www.theexaminernews.com/one-dead-two-injured-in-mount-kisco-house-fire/"
"10/05/2020","NY","Mount Kisco","Under investigation","A man and woman died in a house fire.","Unknown","Unknown","Older adults (65 and older)","2 of 2","N","1 & 2 family
","Not reported","https://www.theexaminernews.com/one-dead-two-injured-in-mount-kisco-house-fire/"
"10/04/2020","NY","Otsego","Under investigation","A 77-year-old man died in a house fire.","Male","77","Older adults (65 and older)","","Y","1 & 2 family
","Not reported","http://www.wicz.com/story/42723025/fire-claims-life-of-otsego-county-man"
"10/02/2020","NY","Rochester","Under investigation","One person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://www.democratandchronicle.com/story/news/2020/10/02/one-person-dead-apartment-fire-chili-avenue-rochester-ny/5892537002/"
"10/01/2020","NY","Melrose Hamlet","Under investigation","A 75-year-old man died in a house fire.","Male","75","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/Police-investigating-fatal-Rensselaer-County-fire-15613920.php"
"09/28/2020","NY","West Seneca","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.wkbw.com/news/local-news/multiple-crews-working-to-put-out-fire-in-west-seneca-road-partially-closed"
"09/26/2020","NY","Big Flats","Under investigation","A 66-year-old man died in a house fire.","Male","66","Older adults (65 and older)","","N","Not reported","Not reported","https://www.mytwintiers.com/news-cat/top-stories/officials-identify-victim-of-big-flats-fire-victim/"
"09/21/2020","NY","New Windsor","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.recordonline.com/story/news/2020/09/21/new-windsor-fatal-house-fire/5856715002/"
"09/21/2020","NY","Holtsville, Suffolk County","Under investigation","A 32-year-old man died in a house fire.","Male","32","Unknown","","N","1 & 2 family
","Not reported","https://www.newsday.com/long-island/suffolk/house-fire-holtsville-1.49600792"
"09/20/2020","NY","Kingston","Under investigation","Two people died in a house fire.","Unknown","Unknown","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://www.dailyfreeman.com/news/police-blotter/2-die-in-kingston-house-fire/article_79d1b678-fb57-11ea-a66d-7fb963bc3c85.html"
"09/20/2020","NY","Kingston","Under investigation","Two people died in a house fire.","Unknown","Unknown","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.dailyfreeman.com/news/police-blotter/2-die-in-kingston-house-fire/article_79d1b678-fb57-11ea-a66d-7fb963bc3c85.html"
"09/13/2020","NY","Riverhead","Under investigation","A 72-year-old man died in a house fire.","Male","72","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://riverheadnewsreview.timesreview.com/2020/09/102352/victim-of-jamesport-house-fire-identified/"
"08/30/2020","NY","Fultonville","Under investigation","A 32-year-old man and a 26-year-old woman died in an apartment fire.","Male","32","Unknown","1 of 2","N","Multifamily","Not reported","https://dailygazette.com/article/2020/08/31/two-killed-in-sunday-night-fultonville-fire"
"08/30/2020","NY","Fultonville","Under investigation","A 32-year-old man and a 26-year-old woman died in an apartment fire.","Female","26","Unknown","2 of 2","N","Multifamily","Not reported","https://dailygazette.com/article/2020/08/31/two-killed-in-sunday-night-fultonville-fire"
"08/29/2020","NY","Black Brook","Under investigation","An 87-year-old woman died in a house fire.","Female","87","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.pressrepublican.com/news/local_news/fatal-fire-in-ausable-forks/article_8b78b8ed-f9fa-5024-9464-b755b0a16d3d.html"
"08/27/2020","NY","New York","Under investigation","A person died in an apartment fire.","Unknown","Unknown","Unknown","","N","Multifamily","Not reported","https://newyork.cbslocal.com/2020/08/27/east-81st-street-upper-east-side-fire/"
"08/13/2020","NY","Almond","Under investigation","A 58-year-old woman died in a house fire.","Female","58","Unknown","","N","1 & 2 family
","Not reported","https://www.eveningtribune.com/news/20200819/nancy-l-mallory-idrsquod-as-almond-house-fire-victim"
"08/02/2020","NY","Rotterdam","Under investigation","A 60 year-old male succumbed to injuries received after his dwelling fire.","Male","60","Unknown","","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/Coeymans-police-officer-dies-after-house-fire-15480930.php"
"07/06/2020","NY","Queens","Under investigation","A 12-year-old boy and a 69-year-old man died in an apartment fire.","Male","69","Older adults (65 and older)","1 of 2","N","Multifamily","Not reported","https://bklyner.com/fatal-fire-kills-two-in-flatbush-including-12-year-old-boy/"
"07/06/2020","NY","Queens","Under investigation","A 12-year-old boy and a 69-year-old man died in an apartment fire.","Male","12","Children (14 and under)","2 of 2","N","Multifamily","Not reported","https://bklyner.com/fatal-fire-kills-two-in-flatbush-including-12-year-old-boy/"
"07/05/2020","NY","Town of Shawangunk","Under investigation","A man an a 7-year-old boy died in a house fire.","Male","Unknown","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://spectrumlocalnews.com/nys/hudson-valley/public-safety/2020/07/06/fatal-fire-hudson-valley"
"07/05/2020","NY","Town of Shawangunk","Under investigation","A man an a 7-year-old boy died in a house fire.","Male","7","Children (14 and under)","2 of 2","N","1 & 2 family
","Not reported","https://spectrumlocalnews.com/nys/hudson-valley/public-safety/2020/07/06/fatal-fire-hudson-valley"
"06/10/2020","NY","Olean","Smoking","A 53-year-old woman died in a house fire.","Female","53","Unknown","","N","1 & 2 family
","Not reported","https://www.wgrz.com/article/news/local/one-person-killed-another-hospitalized-in-olean-fire-wednesday-night/71-1b9bbc8e-77ea-4865-92fc-a5f189f70969"
"05/20/2020","NY","Schenectady","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://dailygazette.com/article/2020/05/20/one-pulled-from-wednesday-fire-on-elmer-avenue-in-schenectady"
"05/20/2020","NY","Queens","Under investigation","A man died in a house fire.","Male","77","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://1010wins.radio.com/articles/queens-house-fire-kills-77-year-old-man-injures-4"
"05/20/2020","NY","Kingston","Cooking","A woman died in a house fire.","Female","Unknown","Unknown","","N","Multifamily","Not reported","https://midhudsonnews.com/2020/05/21/woman-dies-in-kingston-fire/"
"05/17/2020","NY","Long Island","Under investigation","A 28-year-old man died in a house fire.","Male","28","Unknown","","N","1 & 2 family
","Not reported","https://dailyvoice.com/new-york/nassau/police-fire/28-year-old-dies-in-long-island-house-fire/788103/"
"05/17/2020","NY","Queens","Under investigation","A 57-year-old man died in a house fire.","Male","57","Unknown","","N","1 & 2 family
","Not reported","http://www.nydailynews.com/new-york/nyc-crime/ny-queens-fire-man-dead-20200517-rzxbebwcyfcinac2olgpkcmuba-story.html"
"05/13/2020","NY","Philmont","Under investigation","One person died in a multi-family home. 56 year-old female","Female","56","Unknown","","N","Multifamily","Not reported","https://www.hudsonvalley360.com/news/greenecounty/one-dead-in-philmont-house-fire/article_29906b55-5bf7-526d-b1f9-e1ff81523984.html"
"05/11/2020","NY","Philmont","Under investigation","A 56-year-old woman died in a house fire.","Female","56","Unknown","","N","1 & 2 family
","Not reported","https://www.timesunion.com/news/article/Woman-dies-in-Philmont-fire-15270029.php"
"05/06/2020","NY","Spring Valley","Under investigation","A person died in an abandoned home fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.fireengineering.com/2020/05/12/487947/photos-firefighters-respond-to-fatal-spring-valley-ny-fire/"
"05/02/2020","NY","Bronx","Smoking","An 89-year-old man died in a nursing home fire.","Male","89","Older adults (65 and older)","","Y","Multifamily","Not reported","https://nypost.com/2020/05/02/one-dead-another-seriously-inured-in-bronx-nursing-home-fire/"
"04/30/2020","NY","Hopewell Junction","Under investigation","A 93-year-old man died in a house fire.","Male","93","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://dailyvoice.com/new-york/putnam/police-fire/id-released-for-man-who-died-in-house-fire/787533/"
"04/21/2020","NY","Scotia","Under investigation","A 41-year-old man died in an apartment fire.","Male","41","Unknown","","N","Multifamily","Not reported","https://www.news10.com/news/one-dead-8-displaced-after-overnight-fire-in-scotia/"
"04/21/2020","NY","Buffalo","Under investigation","A 31-year-old man and a 65-year-old woman died in a house fire.","Female","65","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not reported","https://wben.radio.com/articles/fire-leaves-two-dead-on-minnesota-avenue"
"04/21/2020","NY","Buffalo","Under investigation","A 31-year-old man and a 65-year-old woman died in a house fire.","Male","31","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://wben.radio.com/articles/fire-leaves-two-dead-on-minnesota-avenue"
"04/20/2020","NY","Howard (Steuben County)","Under investigation","An 84-year-old man died in a house fire.","Male","84","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://fingerlakes1.com/2020/04/20/fatal-fire-under-investigation-in-steuben-county/"
"04/18/2020","NY","Cohoes","Under investigation","A woman died in a house fire.","Female","24","Unknown","","N","Multifamily","Not reported","https://cbs6albany.com/news/local/cohoes-fire-kills-one"
"04/18/2020","NY","North Tonawanda","Appliances","A 53-year-old man died in a house fire.","Male","53","Unknown","","N","1 & 2 family
","Not reported","https://www.wkbw.com/news/one-person-dead-following-nt-fire"
"04/17/2020","NY","New Paltz","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://hudsonvalleyone.com/2020/04/18/structure-fire-in-new-paltz-takes-the-life-of-one-resident-and-two-pets/"
"04/17/2020","NY","Howard (Steuben County)","Under investigation","An 84-year-old man died in a house fire.","Male","84","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.weny.com/story/42031037/fatal-fire-under-investigation-in-steuben-county"
"04/14/2020","NY","Bay Terrace (Staten Island)","Under investigation","A 36-year-old woman died on April 20th, 2020 from injuries sustained in a house fire on 4/14/2020.","Female","36","Unknown","","N","Not reported","Not reported","https://www.silive.com/news/2020/04/cops-woman-36-dies-after-house-fire-in-bay-terrace.html"
"04/05/2020","NY","Schuyler County","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://fingerlakes1.com/2020/04/05/one-dead-another-hospitalized-after-fire-in-schuyler-county/"
"04/04/2020","NY","North Bangor","Under investigation","A 49-year-old woman died in a house fire.","Female","49","Unknown","","N","1 & 2 family
","Present and working","https://www.nyspnews.com/state-police-investigate-fatal-fire-in-bangor.htm"
"04/04/2020","NY","Bronx","Under investigation","One person died after what is believed to be a smoking related fire in their apartment inside a 6-story nursing home.","Unknown","Unknown","Older adults (65 and older)","","N","Multifamily","Not reported","https://nypost.com/2020/05/02/one-dead-another-seriously-inured-in-bronx-nursing-home-fire/"
"03/31/2020","NY","Plattsburgh","Under investigation","A 61-year-old man died in an apartment fire.","Male","61","Unknown","","N","Multifamily","Not reported","https://www.wcax.com/content/news/Police-investigating-fatal-fire-in-Plattsburgh-town--569247101.html"
"03/31/2020","NY","Bronx","Heating","Four women died in an apartment building fire caused by a space heater.","Female","Unknown","Unknown","1 of 4","N","Multifamily","Present and working","https://nypost.com/2020/04/01/four-killed-in-bronx-apartment-fire/"
"03/31/2020","NY","Bronx","Heating","Four women died in an apartment building fire caused by a space heater.","Female","Unknown","Unknown","2 of 4","N","Multifamily","Present and working","https://nypost.com/2020/04/01/four-killed-in-bronx-apartment-fire/"
"03/31/2020","NY","Bronx","Heating","Four women died in an apartment building fire caused by a space heater.","Female","Unknown","Unknown","3 of 4","N","Multifamily","Present and working","https://nypost.com/2020/04/01/four-killed-in-bronx-apartment-fire/"
"03/31/2020","NY","Bronx","Heating","Four women died in an apartment building fire caused by a space heater.","Female","Unknown","Unknown","4 of 4","N","Multifamily","Present and working","https://nypost.com/2020/04/01/four-killed-in-bronx-apartment-fire/"
"03/25/2020","NY","Clarkstown","Under investigation","A woman died in a house fire.","Female","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.lohud.com/story/news/local/rockland/west-nyack/2020/03/25/woman-dies-wheeler-place-fire-west-nyack/5077032002/"
"03/22/2020","NY","Utica","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://wibx950.com/utica-police-investigating-fatal-house-fire-on-dewitt-street/"
"03/18/2020","NY","Ellenville","Under investigation","A 60-year-old man died in a house fire.","Male","60","Unknown","","N","1 & 2 family
","Not present/not working","https://www.dailyfreeman.com/news/police-blotter/man-dies-in-ellenville-house-fire/article_5278a744-693f-11ea-bc4a-a749123ab06e.html"
"03/17/2020","NY","Ellenville","Under investigation","A man died in a house fire.","Male","60","Unknown","","N","1 & 2 family
","Not reported","https://www.dailyfreeman.com/news/police-blotter/man-dies-in-ellenville-house-fire/article_5278a744-693f-11ea-bc4a-a749123ab06e.html"
"03/13/2020","NY","Queens","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://qns.com/story/2020/03/13/fire-in-queens-village-home-kills-one-person-fdny/"
"03/11/2020","NY","Clarkstown","Under investigation","A 75-year-old man died in a house fire.","Male","75","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.lohud.com/story/news/local/rockland/nanuet/2020/03/11/man-dies-nanuet-house-fire-amarillo-drive/5019504002/"
"03/09/2020","NY","Genoa (Cayuga County)","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://auburnpub.com/news/local/genoa-fire-department-one-found-dead-another-injured-in-blaze/article_90f4cb07-f6be-5001-a10b-1ac03d646adb.html"
"03/03/2020","NY","Bronx","Under investigation","Four women died in a house fire.","Female","42","Unknown","1 of 4","N","Multifamily","Not reported","http://www.nydailynews.com/new-york/ny-week-in-news-20200403-zc2mqq2hyjgczgojww5wvcqvri-story.html"
"03/03/2020","NY","Bronx","Under investigation","Four women died in a house fire.","Female","70","Older adults (65 and older)","2 of 4","N","Multifamily","Not reported","http://www.nydailynews.com/new-york/ny-week-in-news-20200403-zc2mqq2hyjgczgojww5wvcqvri-story.html"
"03/03/2020","NY","Bronx","Under investigation","Four women died in a house fire.","Female","93","Older adults (65 and older)","3 of 4","N","Multifamily","Not reported","http://www.nydailynews.com/new-york/ny-week-in-news-20200403-zc2mqq2hyjgczgojww5wvcqvri-story.html"
"03/03/2020","NY","Bronx","Under investigation","Four women died in a house fire.","Female","76","Older adults (65 and older)","4 of 4","N","Multifamily","Not reported","http://www.nydailynews.com/new-york/ny-week-in-news-20200403-zc2mqq2hyjgczgojww5wvcqvri-story.html"
"02/29/2020","NY","Buffalo","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://wben.radio.com/articles/fatal-fire-in-buffalo"
"02/24/2020","NY","Emmons","Under investigation","A man died in a barn fire.","Male","Unknown","Unknown","","N","Other","Not reported","https://www.allotsego.com/man-dead-in-emmons-barn-fire/"
"02/23/2020","NY","Yonkers","Electrical malfunction
","A 64-year-old man died in an apartment fire.","Male","64","Unknown","","N","Multifamily","Not reported","https://www.lohud.com/story/news/local/westchester/yonkers/2020/02/28/overloaded-extension-cord-likely-caused-fatal-yonkers-fire/4902523002/"
"02/22/2020","NY","Jamaica, NYC","Under investigation","A 35-year-old woman died in an apartment fire.","Female","35","Unknown","","N","Multifamily","Not reported","https://qns.com/story/2020/02/22/early-morning-fire-kills-one-in-jamaica-nypd/"
"02/22/2020","NY","Poughkeepsie","Smoking","A 68-year-old man died in an apartment fire.","Male","68","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.poughkeepsiejournal.com/story/news/local/2020/03/03/poughkeepsie-fatal-fire-cigarette-most-likely-caused-blaze-chief/4937417002/"
"02/22/2020","NY","Rye","Under investigation","An 85-year-old woman died in a house fire.","Female","85","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.lohud.com/story/news/local/westchester/rye-city/2020/02/24/rye-house-fire-midland-avenue-victim-identified/4854748002/"
"02/14/2020","NY","Manhattan","Under investigation","A 76-year-old man died in an apartment fire.","Male","76","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.amny.com/manhattan/severely-burned-man-dead-after-apartment-fire-in-manhattan-high-rise/"
"02/07/2020","NY","Frankfort Center","Under investigation","A person died in a home fire.","Male","67","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.timestelegram.com/news/20200207/updated-1-dead-in-frankfort-center-fire"
"02/04/2020","NY","Queens","Under investigation","A 72-year-old man died in a house fire.","Male","72","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://abc7ny.com/5903768/"
"02/04/2020","NY","Reading/Schuyler County","Under investigation","A 20-year-old woman and a 2-year-old boy died in a house fire.","Male","2","Children (14 and under)","1 of 2","N","1 & 2 family
","Not reported","https://www.mytwintiers.com/news-cat/top-stories/fire-crews-responding-to-fire-on-county-route-28-in-watkins-glen/"
"02/04/2020","NY","Reading/Schuyler County","Under investigation","A 20-year-old woman and a 2-year-old boy died in a house fire.","Female","20","Unknown","2 of 2","N","1 & 2 family
","Not reported","https://www.mytwintiers.com/news-cat/top-stories/fire-crews-responding-to-fire-on-county-route-28-in-watkins-glen/"
"01/30/2020","NY","Richland (Oswego County)","Under investigation","A 43-year-old woman died in a house fire.","Female","43","Unknown","","N","Not reported","Not reported","https://cnycentral.com/news/local/one-woman-dead-after-fire-in-the-town-of-richland"
"01/25/2020","NY","Plainview","Under investigation","A 65-year-old woman died in a house fire.","Female","65","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://longisland.news12.com/story/41612300/authorities-plainview-house-fire-kills-65yearold-woman"
"01/22/2020","NY","Brooklyn","Under investigation","A 37-year-old man and a 22-year-old woman died in an apartment fire.","Male","37","Unknown","1 of 2","N","Multifamily","Not reported","https://newyork.cbslocal.com/2020/01/22/park-slope-fatal-apartment-fire/"
"01/22/2020","NY","Brooklyn","Under investigation","A 37-year-old man and a 22-year-old woman died in an apartment fire.","Female","22","Unknown","2 of 2","N","Multifamily","Not reported","https://newyork.cbslocal.com/2020/01/22/park-slope-fatal-apartment-fire/"
"01/20/2020","NY","Bronx","Under investigation","An 85-year-old man died in a house fire.","Male","85","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.nbcnewyork.com/news/local/fatal-co-op-city-fire-claims-life-of-85-year-old-man-nypd/2262396/"
"01/20/2020","NY","Brooklyn","Under investigation","An 11-year-old girl died in a house fire.","Female","11","Children (14 and under)","","N","Not reported","Not reported","https://nypost.com/2020/01/21/11-year-old-girl-killed-in-brooklyn-house-fire/"
"01/18/2020","NY","Cairo","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","Not reported","Not reported","https://www.hudsonvalley360.com/news/greenecounty/one-dead-in-cairo-fire/article_6b526b64-167d-5a3f-bdb4-2e6548b7ed9b.html"
"01/18/2020","NY","Acra (Greene County)","Under investigation","A 69-year-old man died in a house fire.","Male","69","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.news10.com/news/local-news/69-year-old-man-died-in-weekend-fire/"
"01/17/2020","NY","Niagara Falls","Under investigation","A man died in a house fire.","Male","Unknown","Unknown","","N","Not reported","Not reported","https://www.niagara-gazette.com/news/local_news/man-dies-in-fire-at-weston-avenue-home/article_95c4f78f-ff84-5a08-ae97-2b095d171696.html"
"01/11/2020","NY","Ramapo","Under investigation","An adult male died during a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.nbcnewyork.com/news/local/beloved-soccer-coach-dies-in-rockland-county-fire-officials/2258513/"
"01/07/2020","NY","Little Falls","Under investigation","One person died in an apartment fire.","Male","60","Unknown","","N","Multifamily","Not reported","https://wibx950.com/little-falls-fire-claims-one-life-at-snyder-apartments/"
"01/04/2020","NY","Brooklyn","Under investigation","A 63-year-old man died in an apartment fire.","Male","63","Unknown","","N","Multifamily","Not reported","https://nypost.com/2020/01/04/man-dies-in-fire-at-brooklyn-nycha-complex/#content-wrapper"
"01/02/2020","NY","Oswego County","Under investigation","A 77-year-old man and a 75-year-old woman died in a house fire.","Male","77","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not present/not working","https://spectrumlocalnews.com/nys/central-ny/public-safety/2020/01/02/2-killed-in-oswego-county-house-fire--2-others-injured-"
"01/02/2020","NY","Oswego County","Under investigation","A 77-year-old man and a 75-year-old woman died in a house fire.","Female","75","Older adults (65 and older)","2 of 2","N","1 & 2 family
","Not present/not working","https://spectrumlocalnews.com/nys/central-ny/public-safety/2020/01/02/2-killed-in-oswego-county-house-fire--2-others-injured-"
"12/31/2019","NY","Warrensburg","Under investigation","A 75-year-old man and 72-year-old woman died in a house fire.","Female","72","Older adults (65 and older)","1 of 2","N","1 & 2 family
","Not reported","https://poststar.com/news/local/two-dead-after-house-fire-in-warrensburg/article_b7b280b1-d5ee-5f90-bdd7-0a20c5e1ed26.html"
"12/31/2019","NY","Warrensburg","Under investigation","A 75-year-old man and 72-year-old woman died in a house fire.","Male","75","Older adults (65 and older)","2 of 2","N","1 & 2 family
","Not reported","https://poststar.com/news/local/two-dead-after-house-fire-in-warrensburg/article_b7b280b1-d5ee-5f90-bdd7-0a20c5e1ed26.html"
"12/29/2019","NY","Eden","Other heat
","An 80-year-old man died in a home fire.","Male","80","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.wkbw.com/news/local-news/space-heater-starts-fire-that-kills-an-elderly-man-in-the-town-of-eden"
"12/28/2019","NY","Enfield","Under investigation","A woman died in a house fire.","Female","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://wbng.com/2019/12/29/woman-found-dead-in-enfield-house-fire/"
"12/22/2019","NY","Woodstock","Electrical malfunction
","A man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.dailyfreeman.com/news/police-blotter/woodstock-house-fire-leaves-man-dead/article_2be7e66a-24f9-11ea-b24b-6f0197e863c1.html"
"12/21/2019","NY","Inwood","Under investigation","A 51-year-old man died in an apartment fire.","Male","51","Unknown","","N","Multifamily","Not reported","https://www.ny1.com/nyc/all-boroughs/news/2019/12/21/manhattan-fire-kills-1--injures-three-others"
"12/20/2019","NY","Lumberland","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://midhudsonnews.com/2019/12/22/lumberland-fire-claims-one-life/"
"12/18/2019","NY","Remsen","Other heat
","A 9-year-old boy died in a house fire due to a wood stove.","Male","9","Children (14 and under)","","N","1 & 2 family
","Not reported","https://www.firehouse.com/operations-training/news/21118632/remsen-ny-house-fire-boy-killed-family-members-burned-firefighters"
"12/17/2019","NY","Farmington","Under investigation","An 84-year-old woman and a 12-year-old boy died in a house fire.","Male","12","Children (14 and under)","1 of 2","N","1 & 2 family
","Present/not working","https://www.democratandchronicle.com/story/news/2019/12/17/ellsworth-road-fire-farmington-ny-woman-grandson-killed-in-blaze/2672715001/"
"12/17/2019","NY","Farmington","Under investigation","An 84-year-old woman and a 12-year-old boy died in a house fire.","Female","84","Older adults (65 and older)","2 of 2","N","1 & 2 family
","Present/not working","https://www.democratandchronicle.com/story/news/2019/12/17/ellsworth-road-fire-farmington-ny-woman-grandson-killed-in-blaze/2672715001/"
"12/16/2019","NY","New York","Under investigation","A 69-year-old man with a physical disability died in a house fire.","Male","69","Older adults (65 and older)","","Y","1 & 2 family
","Not reported","https://www.nydailynews.com/new-york/nyc-crime/ny-fatal-fire-bronx-20191216-krbyppannnadhgr2ol752ctfau-story.html"
"12/16/2019","NY","Buffalo","Under investigation","A 73-year-old man and a 60-year-old woman died in an apartment fire.","Female","60","Unknown","1 of 2","N","Multifamily","Not present/not working","https://www.wivb.com/news/local-news/buffalo/fire-breaks-out-at-home-on-amber-st/"
"12/16/2019","NY","Buffalo","Under investigation","A 73-year-old man and a 60-year-old woman died in an apartment fire.","Male","73","Older adults (65 and older)","2 of 2","N","Multifamily","Not present/not working","https://www.wivb.com/news/local-news/buffalo/fire-breaks-out-at-home-on-amber-st/"
"12/15/2019","NY","Sullivan County","Under investigation","A 69-year-old woman died in a mobile home fire.","Female","69","Older adults (65 and older)","","N","1 & 2 family mobile","Not reported","https://wpdh.com/woman-killed-in-sullivan-county-fire/"
